Putative Microplastic Sample ID,Photograph ID,Shape,Colour,Length,Width,SD,Area,FTIR,FTIR Mode
MCO19Nov05_01_1_B_4_A_001_001,MCO19Nov05_01_1_B_4_A_001,Fibre,clear,,,,,,
MCO19Nov05_01_1_B_4_A_002_002,MCO19Nov05_01_1_B_4_A_002,Fibre,clear,,,,,,
MCO19Nov05_01_1_B_4_A_003_003,MCO19Nov05_01_1_B_4_A_003,Fibre,clear,,,,,,
MCO19Nov05_01_1_A_4_A_001_001,MCO19Nov05_01_1_A_4_A_001,Fibre,clear,,,,,,
MCO19Nov05_01_1_A_4_A_002_002,MCO19Nov05_01_1_A_4_A_002,Fibre,blue,,,,,,
MCO19Nov05_01_2_A_4_A_001_001,MCO19Nov05_01_2_A_4_A_001,Fibre,clear,,,,,,
MCO19Nov05_01_2_A_4_A_002_002,MCO19Nov05_01_2_A_4_A_002,Fibre,clear,,,,,,
MCO19Nov05_01_2_A_4_A_003_003,MCO19Nov05_01_2_A_4_A_003,Fibre,clear,,,,,,
MCO19Nov05_01_2_B_4_A_001_001,MCO19Nov05_01_2_B_4_A_001,Fibre,red,,,,,,
MCO19Nov05_01_2_B_4_A_002_002,MCO19Nov05_01_2_B_4_A_002,Fibre,blue,,,,,,
MCO19Nov05_01_3_A_4_A_001_001,MCO19Nov05_01_3_A_4_A_001,Fibre,red,,,,,,
MCO19Nov05_01_3_B_4_A_001_001,MCO19Nov05_01_3_B_4_A_001,Fibre,clear,,,,,,
MCO19Dec05_02_1_A_4_A_001_001,MCO19Dec05_02_1_A_4_A_001,Fibre,blue,,,,,,
MCO19Dec05_02_1_A_4_A_002_002,MCO19Dec05_02_1_A_4_A_002,Fibre,clear,,,,,,
MCO19Dec05_02_1_A_4_A_003_003,MCO19Dec05_02_1_A_4_A_003,Fibre,blue,,,,,,
MCO19Dec05_02_1_A_4_A_004_004,MCO19Dec05_02_1_A_4_A_004,Fragment,red,,,,,,
MCO19Dec05_02_1_B_4_A_001_001,MCO19Dec05_02_1_B_4_A_001,Fibre,green,,,,,,
MCO19Dec05_02_1_B_4_A_002_002,MCO19Dec05_02_1_B_4_A_002,Fibre,clear,,,,,,
MCO19Dec05_02_1_B_4_A_003_003,MCO19Dec05_02_1_B_4_A_003,Fragment,blue,,,,,,
MCO19Dec05_02_2_A_4_A_001_001,MCO19Dec05_02_2_A_4_A_001,Fibre,clear,,,,,,
MCO19Dec05_02_2_A_4_A_002_002,MCO19Dec05_02_2_A_4_A_002,Fibre,clear,,,,,,
MCO19Dec05_02_2_A_4_A_003_003,MCO19Dec05_02_2_A_4_A_003,Fibre,clear,,,,,,
MCO19Dec05_02_2_B_4_A_001_001,MCO19Dec05_02_2_B_4_A_001,Fibre,clear,,,,,,
MCO19Dec05_02_2_B_4_A_002_002,MCO19Dec05_02_2_B_4_A_002,Fibre,clear,,,,,,
MCO19Dec05_02_3_A_4_A_001_001,MCO19Dec05_02_3_A_4_A_001,Fibre,clear,,,,,,
MCO19Dec05_02_3_A_4_A_002_002,MCO19Dec05_02_3_A_4_A_002,Fibre,orange,,,,,,
MCO19Dec05_02_3_A_4_A_003_003,MCO19Dec05_02_3_A_4_A_003,Fibre,clear,,,,,,
MCO19Dec05_02_3_A_4_A_004_004,MCO19Dec05_02_3_A_4_A_004,Fibre,white,,,,,,
MCO19Dec05_02_3_B_4_A_001_001,MCO19Dec05_02_3_B_4_A_001,Fibre,clear,,,,,,
MCO19Dec05_02_3_B_4_A_002_002,MCO19Dec05_02_3_B_4_A_002,Fibre,clear,,,,,,
MCO19Dec05_02_3_B_4_A_003_003,MCO19Dec05_02_3_B_4_A_003,Fibre,clear,,,,,,
MCO19Dec05_02_3_B_4_A_004_004,MCO19Dec05_02_3_B_4_A_004,Fibre,orange,,,,,,
MCO19Dec05_02_3_B_4_A_005_005,MCO19Dec05_02_3_B_4_A_005,Fibre,blue,,,,,,